S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,LGBM Price,LGBM StdErr,LGBM Bias,LR Price,LR StdErr,LR Bias
80,0.20,1,20.30,0.06,20.29,0.06,-0.00,20.76,0.07,0.46,20.28,0.06,-0.02
80,0.20,2,21.26,0.08,21.30,0.09,0.04,21.74,0.08,0.48,21.29,0.09,0.03
80,0.40,1,25.11,0.12,25.20,0.14,0.08,25.71,0.14,0.60,25.19,0.14,0.07
80,0.40,2,29.16,0.15,29.35,0.17,0.19,29.83,0.16,0.68,29.36,0.17,0.21
85,0.20,1,16.04,0.06,16.03,0.07,-0.00,16.41,0.07,0.37,16.03,0.07,-0.01
85,0.20,2,17.65,0.08,17.58,0.09,-0.07,18.10,0.09,0.45,17.62,0.09,-0.03
85,0.40,1,22.11,0.12,22.39,0.14,0.28,22.95,0.14,0.84,22.38,0.14,0.27
85,0.40,2,26.68,0.15,26.53,0.17,-0.16,27.16,0.16,0.48,26.53,0.17,-0.15
90,0.20,1,12.53,0.06,12.69,0.08,0.16,13.00,0.08,0.48,12.68,0.08,0.16
90,0.20,2,14.50,0.08,14.54,0.10,0.04,14.94,0.09,0.44,14.56,0.10,0.06
90,0.40,1,19.53,0.12,19.14,0.14,-0.39,19.62,0.13,0.09,19.15,0.14,-0.38
90,0.40,2,24.45,0.15,24.31,0.17,-0.14,24.92,0.17,0.47,24.31,0.17,-0.14
95,0.20,1,9.48,0.06,9.42,0.07,-0.06,9.79,0.07,0.30,9.42,0.07,-0.06
95,0.20,2,11.75,0.08,11.75,0.09,0.00,12.15,0.09,0.40,11.73,0.09,-0.02
95,0.40,1,16.91,0.12,17.04,0.13,0.14,17.59,0.13,0.68,17.05,0.13,0.14
95,0.40,2,22.23,0.14,22.51,0.17,0.28,23.04,0.16,0.81,22.52,0.17,0.28
100,0.20,1,7.09,0.06,7.11,0.07,0.02,7.46,0.07,0.37,7.10,0.07,0.01
100,0.20,2,9.67,0.08,9.56,0.09,-0.11,10.00,0.09,0.33,9.56,0.09,-0.10
100,0.40,1,14.94,0.11,14.66,0.13,-0.28,15.19,0.13,0.25,14.67,0.13,-0.27
100,0.40,2,20.34,0.14,20.75,0.16,0.41,21.25,0.16,0.90,20.71,0.16,0.37
105,0.20,1,5.20,0.05,5.12,0.06,-0.09,5.42,0.06,0.22,5.11,0.06,-0.09
105,0.20,2,7.80,0.07,7.80,0.08,-0.00,8.20,0.08,0.39,7.82,0.08,0.02
105,0.40,1,12.88,0.11,12.83,0.12,-0.05,13.37,0.13,0.49,12.81,0.12,-0.07
105,0.40,2,18.41,0.14,18.55,0.16,0.13,19.21,0.16,0.79,18.57,0.16,0.15
110,0.20,1,3.66,0.05,3.74,0.05,0.08,3.98,0.06,0.32,3.74,0.05,0.08
110,0.20,2,6.09,0.06,6.13,0.07,0.04,6.48,0.08,0.39,6.14,0.07,0.05
110,0.40,1,11.36,0.10,11.23,0.12,-0.14,11.71,0.12,0.35,11.22,0.12,-0.14
110,0.40,2,16.95,0.13,16.84,0.15,-0.11,17.51,0.16,0.56,16.85,0.15,-0.10
115,0.20,1,2.67,0.04,2.57,0.05,-0.10,2.78,0.05,0.11,2.57,0.05,-0.10
115,0.20,2,4.87,0.06,4.80,0.07,-0.08,5.18,0.07,0.30,4.81,0.07,-0.06
115,0.40,1,9.83,0.10,9.70,0.11,-0.14,10.20,0.11,0.36,9.68,0.11,-0.16
115,0.40,2,15.42,0.13,15.52,0.15,0.10,16.11,0.15,0.69,15.55,0.15,0.13
120,0.20,1,1.78,0.03,1.80,0.04,0.03,2.00,0.04,0.22,1.80,0.04,0.02
120,0.20,2,3.76,0.05,3.92,0.06,0.15,4.22,0.07,0.46,3.90,0.06,0.14
120,0.40,1,8.52,0.09,8.53,0.10,0.02,9.05,0.11,0.53,8.55,0.11,0.03
120,0.40,2,14.11,0.12,13.94,0.14,-0.17,14.56,0.15,0.45,13.95,0.14,-0.16
