S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.30,0.06,20.29,0.06,-0.00,20.68,0.05,0.39,20.03,0.03,-0.26,20.75,0.07,0.45,20.20,0.04,-0.10
80,0.20,2,21.26,0.08,21.30,0.09,0.04,21.66,0.07,0.40,20.19,0.03,-1.07,21.79,0.08,0.53,20.90,0.05,-0.36
80,0.40,1,25.11,0.12,25.20,0.14,0.08,25.61,0.13,0.49,23.90,0.09,-1.22,25.75,0.14,0.64,24.91,0.11,-0.20
80,0.40,2,29.16,0.15,29.35,0.17,0.19,29.52,0.15,0.36,27.11,0.11,-2.04,29.90,0.16,0.74,28.85,0.14,-0.31
85,0.20,1,16.04,0.06,16.03,0.07,-0.00,16.29,0.06,0.25,15.27,0.03,-0.76,16.41,0.07,0.37,15.81,0.05,-0.23
85,0.20,2,17.65,0.08,17.58,0.09,-0.07,17.89,0.09,0.24,16.27,0.05,-1.38,18.11,0.09,0.46,17.15,0.07,-0.50
85,0.40,1,22.11,0.12,22.39,0.14,0.28,22.69,0.13,0.58,21.15,0.10,-0.96,22.97,0.14,0.86,22.41,0.12,0.30
85,0.40,2,26.68,0.15,26.53,0.17,-0.16,26.88,0.16,0.19,24.73,0.11,-1.95,27.15,0.16,0.46,26.24,0.14,-0.45
90,0.20,1,12.53,0.06,12.69,0.08,0.16,12.77,0.07,0.24,11.94,0.05,-0.58,13.00,0.08,0.48,12.58,0.06,0.05
90,0.20,2,14.50,0.08,14.54,0.10,0.04,14.64,0.09,0.15,13.30,0.06,-1.20,14.94,0.09,0.45,14.16,0.08,-0.34
90,0.40,1,19.53,0.12,19.14,0.14,-0.39,19.31,0.13,-0.22,18.16,0.10,-1.37,19.60,0.13,0.07,19.24,0.13,-0.29
90,0.40,2,24.45,0.15,24.31,0.17,-0.14,24.58,0.16,0.12,22.42,0.12,-2.03,24.95,0.16,0.49,23.80,0.14,-0.65
95,0.20,1,9.48,0.06,9.42,0.07,-0.06,9.56,0.07,0.08,9.01,0.05,-0.48,9.82,0.07,0.34,9.48,0.07,-0.00
95,0.20,2,11.75,0.08,11.75,0.09,0.00,11.81,0.09,0.06,10.82,0.06,-0.93,12.16,0.09,0.41,11.50,0.08,-0.25
