S0,sigma,T,Ref Price,Ref StdErr,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.35,0.07,20.08,0.04,-0.27,20.00,0.02,-0.35,20.00,0.03,-0.35
80,0.20,2,21.30,0.10,20.81,0.06,-0.49,20.00,0.03,-1.30,20.37,0.04,-0.93
80,0.40,1,25.02,0.14,24.59,0.11,-0.42,23.19,0.08,-1.83,24.11,0.10,-0.91
80,0.40,2,29.02,0.17,28.67,0.14,-0.35,26.29,0.10,-2.73,27.60,0.12,-1.42
85,0.20,1,16.07,0.07,15.68,0.05,-0.38,15.08,0.03,-0.98,15.47,0.04,-0.60
85,0.20,2,17.68,0.09,17.20,0.07,-0.48,15.83,0.04,-1.85,16.63,0.06,-1.05
85,0.40,1,22.03,0.13,21.97,0.11,-0.06,20.65,0.09,-1.38,21.68,0.11,-0.35
85,0.40,2,26.79,0.17,25.98,0.14,-0.81,23.88,0.10,-2.90,25.36,0.13,-1.42
90,0.20,1,12.52,0.08,12.29,0.06,-0.23,11.62,0.05,-0.90,12.10,0.06,-0.42
90,0.20,2,14.50,0.09,14.09,0.08,-0.40,12.92,0.05,-1.57,13.58,0.07,-0.92
90,0.40,1,19.58,0.14,18.72,0.12,-0.86,17.49,0.09,-2.10,18.34,0.11,-1.24
90,0.40,2,24.46,0.17,23.71,0.14,-0.75,21.58,0.11,-2.88,22.77,0.13,-1.69
95,0.20,1,9.47,0.07,9.19,0.06,-0.28,8.73,0.05,-0.74,9.06,0.06,-0.41
95,0.20,2,11.79,0.09,11.36,0.08,-0.43,10.36,0.06,-1.43,11.00,0.07,-0.79
95,0.40,1,16.99,0.14,16.72,0.11,-0.26,15.72,0.10,-1.26,16.49,0.11,-0.50
95,0.40,2,22.36,0.17,21.89,0.14,-0.47,19.82,0.11,-2.53,20.90,0.13,-1.45
100,0.20,1,7.17,0.07,6.89,0.06,-0.28,6.47,0.05,-0.70,6.74,0.05,-0.43
100,0.20,2,9.69,0.09,9.29,0.07,-0.40,8.46,0.06,-1.23,8.94,0.07,-0.76
100,0.40,1,14.88,0.13,14.35,0.11,-0.52,13.59,0.10,-1.29,14.03,0.11,-0.85
100,0.40,2,20.50,0.16,20.25,0.14,-0.25,18.23,0.11,-2.27,19.39,0.13,-1.11
105,0.20,1,5.24,0.06,4.99,0.05,-0.25,4.77,0.05,-0.47,4.96,0.05,-0.28
105,0.20,2,7.77,0.08,7.51,0.07,-0.26,6.81,0.06,-0.96,7.29,0.07,-0.48
105,0.40,1,12.98,0.12,12.58,0.11,-0.41,11.68,0.09,-1.31,12.30,0.11,-0.69
105,0.40,2,18.42,0.16,18.10,0.14,-0.32,16.61,0.11,-1.82,17.62,0.13,-0.80
110,0.20,1,3.69,0.05,3.61,0.05,-0.08,3.40,0.04,-0.29,3.59,0.05,-0.11
110,0.20,2,6.09,0.07,5.91,0.06,-0.18,5.42,0.05,-0.67,5.73,0.06,-0.36
110,0.40,1,11.20,0.12,10.99,0.10,-0.21,10.36,0.09,-0.84,10.90,0.10,-0.30
110,0.40,2,17.01,0.15,16.44,0.13,-0.57,14.96,0.11,-2.05,15.92,0.12,-1.09
115,0.20,1,2.65,0.04,2.44,0.04,-0.21,2.28,0.03,-0.37,2.42,0.04,-0.23
115,0.20,2,4.83,0.07,4.56,0.06,-0.27,4.21,0.05,-0.62,4.50,0.05,-0.33
115,0.40,1,9.83,0.11,9.45,0.10,-0.38,9.00,0.09,-0.83,9.33,0.09,-0.51
115,0.40,2,15.39,0.15,15.11,0.13,-0.28,13.86,0.11,-1.53,14.65,0.12,-0.74
120,0.20,1,1.78,0.04,1.75,0.03,-0.03,1.65,0.03,-0.13,1.73,0.03,-0.05
120,0.20,2,3.77,0.06,3.77,0.05,-0.01,3.46,0.04,-0.32,3.65,0.05,-0.12
120,0.40,1,8.54,0.11,8.38,0.10,-0.17,7.79,0.08,-0.75,8.21,0.09,-0.33
120,0.40,2,14.16,0.14,13.53,0.12,-0.64,12.50,0.11,-1.67,13.20,0.12,-0.96
