S0,sigma,T,Ref Price,Ref StdErr,LGBM Price,LGBM StdErr,LGBM Bias,XGB Price,XGB StdErr,XGB Bias
80,0.20,1,20.35,0.07,20.13,0.04,-0.21,20.21,0.04,-0.14
80,0.20,2,21.30,0.10,21.01,0.06,-0.29,21.01,0.06,-0.29
80,0.40,1,25.02,0.14,24.63,0.11,-0.39,24.62,0.11,-0.40
80,0.40,2,29.02,0.17,28.54,0.14,-0.48,28.51,0.14,-0.51
85,0.20,1,16.07,0.07,15.81,0.06,-0.25,15.88,0.06,-0.19
85,0.20,2,17.68,0.09,17.23,0.07,-0.45,17.25,0.07,-0.44
85,0.40,1,22.03,0.13,22.11,0.12,0.08,22.13,0.12,0.10
85,0.40,2,26.79,0.17,25.95,0.14,-0.84,25.99,0.14,-0.79
90,0.20,1,12.52,0.08,12.38,0.06,-0.14,12.40,0.06,-0.12
90,0.20,2,14.50,0.09,14.22,0.08,-0.27,14.16,0.08,-0.33
90,0.40,1,19.58,0.14,18.69,0.12,-0.89,18.69,0.12,-0.89
90,0.40,2,24.46,0.17,23.46,0.14,-1.00,23.45,0.14,-1.01
95,0.20,1,9.47,0.07,9.21,0.06,-0.26,9.21,0.06,-0.26
95,0.20,2,11.79,0.09,11.33,0.07,-0.46,11.30,0.07,-0.48
95,0.40,1,16.99,0.14,16.80,0.12,-0.18,16.78,0.11,-0.21
95,0.40,2,22.36,0.17,21.91,0.14,-0.45,21.81,0.14,-0.55
100,0.20,1,7.17,0.07,6.93,0.06,-0.24,6.92,0.06,-0.25
100,0.20,2,9.69,0.09,9.29,0.07,-0.41,9.28,0.07,-0.42
100,0.40,1,14.88,0.13,14.30,0.11,-0.58,14.28,0.11,-0.60
100,0.40,2,20.50,0.16,20.08,0.14,-0.42,20.09,0.14,-0.41
105,0.20,1,5.24,0.06,4.99,0.05,-0.24,4.99,0.05,-0.25
105,0.20,2,7.77,0.08,7.54,0.07,-0.22,7.51,0.07,-0.26
105,0.40,1,12.98,0.12,12.39,0.11,-0.60,12.46,0.11,-0.53
105,0.40,2,18.42,0.16,18.09,0.14,-0.34,18.11,0.14,-0.32
110,0.20,1,3.69,0.05,3.59,0.05,-0.10,3.63,0.05,-0.07
110,0.20,2,6.09,0.07,5.84,0.06,-0.25,5.89,0.06,-0.20
110,0.40,1,11.20,0.12,10.94,0.10,-0.26,10.97,0.10,-0.23
110,0.40,2,17.01,0.15,16.34,0.13,-0.67,16.37,0.13,-0.64
115,0.20,1,2.65,0.04,2.45,0.04,-0.19,2.44,0.04,-0.20
115,0.20,2,4.83,0.07,4.59,0.06,-0.24,4.58,0.06,-0.25
115,0.40,1,9.83,0.11,9.43,0.10,-0.40,9.41,0.10,-0.42
115,0.40,2,15.39,0.15,15.00,0.13,-0.40,14.97,0.13,-0.42
120,0.20,1,1.78,0.04,1.72,0.03,-0.06,1.72,0.03,-0.06
120,0.20,2,3.77,0.06,3.76,0.05,-0.01,3.76,0.05,-0.02
120,0.40,1,8.54,0.11,8.31,0.09,-0.24,8.31,0.09,-0.24
120,0.40,2,14.16,0.14,13.44,0.12,-0.73,13.49,0.12,-0.67
