S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,LGBM Price,LGBM StdErr,LGBM Bias,LR Price,LR StdErr,LR Bias
80,0.20,1,20.30,0.05,20.17,0.05,-0.13,20.84,0.06,0.54,20.40,0.06,0.10
80,0.20,2,21.25,0.07,21.30,0.09,0.05,21.74,0.08,0.48,21.19,0.09,-0.06
80,0.40,1,25.21,0.12,25.23,0.14,0.02,25.71,0.13,0.49,24.96,0.13,-0.25
80,0.40,2,29.21,0.15,29.27,0.17,0.06,30.06,0.16,0.85,29.23,0.16,0.02
85,0.20,1,16.14,0.06,16.10,0.07,-0.04,16.60,0.07,0.46,16.15,0.07,0.01
85,0.20,2,17.56,0.08,17.69,0.10,0.13,18.09,0.09,0.53,17.47,0.09,-0.09
85,0.40,1,21.96,0.12,22.29,0.14,0.32,22.50,0.13,0.54,22.10,0.14,0.14
85,0.40,2,27.06,0.15,27.17,0.17,0.11,27.16,0.16,0.10,26.91,0.17,-0.14
90,0.20,1,12.57,0.07,12.50,0.08,-0.06,12.88,0.07,0.31,12.47,0.07,-0.10
90,0.20,2,14.52,0.09,14.44,0.10,-0.09,14.81,0.09,0.29,14.45,0.09,-0.07
90,0.40,1,19.50,0.12,19.39,0.13,-0.11,20.15,0.13,0.65,19.44,0.13,-0.06
90,0.40,2,24.35,0.14,24.31,0.16,-0.04,24.91,0.16,0.56,24.51,0.17,0.16
95,0.20,1,9.66,0.06,9.55,0.07,-0.11,9.82,0.07,0.16,9.56,0.07,-0.09
95,0.20,2,11.73,0.08,11.73,0.09,0.00,12.05,0.09,0.32,11.70,0.09,-0.03
95,0.40,1,16.91,0.11,17.21,0.13,0.29,17.57,0.13,0.66,17.13,0.13,0.22
95,0.40,2,22.22,0.14,22.45,0.16,0.23,22.43,0.16,0.21,22.18,0.16,-0.03
100,0.20,1,7.07,0.06,7.19,0.07,0.12,7.45,0.07,0.38,7.00,0.07,-0.07
100,0.20,2,9.65,0.07,9.50,0.09,-0.15,9.90,0.08,0.25,9.55,0.08,-0.10
100,0.40,1,14.77,0.11,14.99,0.13,0.22,15.41,0.13,0.64,14.88,0.13,0.11
100,0.40,2,20.39,0.14,20.40,0.16,0.02,21.01,0.16,0.62,20.34,0.16,-0.05
105,0.20,1,5.13,0.05,5.15,0.06,0.02,5.50,0.06,0.37,5.17,0.06,0.04
105,0.20,2,7.66,0.07,7.72,0.08,0.06,7.97,0.08,0.31,7.62,0.08,-0.04
105,0.40,1,12.84,0.11,13.11,0.12,0.27,13.38,0.12,0.54,12.98,0.12,0.14
105,0.40,2,18.39,0.14,18.34,0.16,-0.05,19.22,0.15,0.83,18.40,0.16,0.01
110,0.20,1,3.59,0.04,3.69,0.05,0.10,3.97,0.05,0.38,3.74,0.05,0.15
110,0.20,2,6.07,0.06,6.22,0.07,0.16,6.49,0.08,0.42,6.00,0.07,-0.07
110,0.40,1,11.24,0.10,11.33,0.12,0.10,11.78,0.12,0.54,11.22,0.12,-0.02
110,0.40,2,16.74,0.13,17.05,0.16,0.31,17.24,0.15,0.49,16.79,0.15,0.05
115,0.20,1,2.60,0.04,2.69,0.05,0.09,2.81,0.05,0.21,2.59,0.04,-0.01
115,0.20,2,4.79,0.06,4.74,0.06,-0.05,5.35,0.07,0.55,4.99,0.07,0.20
115,0.40,1,9.74,0.10,9.78,0.11,0.04,10.38,0.11,0.63,9.94,0.11,0.20
115,0.40,2,15.23,0.13,15.52,0.15,0.29,15.82,0.15,0.59,15.49,0.15,0.26
120,0.20,1,1.74,0.03,1.79,0.04,0.05,1.95,0.04,0.21,1.77,0.04,0.03
120,0.20,2,3.76,0.05,3.90,0.06,0.14,4.06,0.06,0.29,3.80,0.06,0.04
120,0.40,1,8.43,0.09,8.40,0.10,-0.03,8.87,0.11,0.44,8.43,0.10,0.00
120,0.40,2,14.01,0.12,14.05,0.14,0.04,14.77,0.14,0.76,14.01,0.14,-0.00
