S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.30,0.05,20.37,0.06,0.07,20.62,0.06,0.32,20.01,0.03,-0.29,20.79,0.07,0.49,20.18,0.03,-0.12
80,0.20,2,21.24,0.07,21.30,0.09,0.06,21.67,0.08,0.42,20.12,0.03,-1.12,21.69,0.08,0.45,20.77,0.05,-0.47
80,0.40,1,25.16,0.12,25.26,0.14,0.10,25.80,0.13,0.63,23.87,0.09,-1.29,25.80,0.14,0.64,24.92,0.11,-0.25
80,0.40,2,29.12,0.14,29.11,0.16,-0.01,29.46,0.16,0.35,27.19,0.11,-1.92,30.01,0.16,0.89,28.79,0.13,-0.33
85,0.20,1,16.19,0.06,16.07,0.08,-0.12,16.43,0.07,0.24,15.37,0.03,-0.82,16.61,0.07,0.42,15.99,0.05,-0.20
85,0.20,2,17.56,0.08,17.71,0.09,0.15,17.76,0.08,0.20,16.14,0.05,-1.43,17.94,0.09,0.38,17.06,0.06,-0.51
85,0.40,1,22.35,0.12,22.16,0.14,-0.19,22.53,0.13,0.18,21.25,0.10,-1.10,22.72,0.14,0.37,22.05,0.12,-0.30
85,0.40,2,26.64,0.15,27.18,0.17,0.55,26.97,0.16,0.33,24.43,0.11,-2.21,27.38,0.16,0.75,26.45,0.14,-0.18
90,0.20,1,12.43,0.07,12.57,0.08,0.14,12.70,0.07,0.27,11.89,0.05,-0.54,12.82,0.07,0.39,12.44,0.07,0.01
90,0.20,2,14.48,0.08,14.51,0.10,0.03,14.48,0.08,0.00,13.36,0.06,-1.12,14.92,0.09,0.44,14.18,0.07,-0.30
90,0.40,1,19.42,0.12,19.49,0.13,0.08,19.37,0.13,-0.04,18.72,0.10,-0.69,20.19,0.14,0.78,19.63,0.13,0.21
90,0.40,2,24.33,0.15,24.36,0.17,0.03,24.51,0.16,0.18,22.29,0.12,-2.04,25.40,0.16,1.07,24.24,0.14,-0.09
95,0.20,1,9.47,0.06,9.44,0.07,-0.03,9.67,0.07,0.20,8.92,0.05,-0.55,9.93,0.07,0.46,9.53,0.07,0.06
95,0.20,2,11.68,0.08,11.87,0.09,0.20,11.92,0.08,0.24,10.79,0.06,-0.89,12.24,0.09,0.56,11.53,0.08,-0.15
95,0.40,1,16.82,0.11,16.97,0.13,0.15,17.29,0.13,0.47,16.33,0.11,-0.49,17.55,0.13,0.74,17.07,0.12,0.25
95,0.40,2,22.11,0.14,22.29,0.17,0.18,22.51,0.16,0.40,20.55,0.12,-1.56,23.01,0.16,0.90,22.00,0.14,-0.11
100,0.20,1,6.95,0.06,7.04,0.07,0.09,7.10,0.06,0.16,6.77,0.05,-0.18,7.32,0.07,0.37,7.29,0.07,0.34
100,0.20,2,9.54,0.07,9.72,0.09,0.18,9.63,0.08,0.08,8.86,0.06,-0.68,9.92,0.09,0.37,9.74,0.08,0.20
100,0.40,1,14.70,0.11,14.86,0.13,0.16,14.94,0.12,0.24,14.29,0.10,-0.41,15.57,0.13,0.87,15.04,0.12,0.34
100,0.40,2,20.35,0.14,20.41,0.16,0.06,20.35,0.15,0.01,18.79,0.12,-1.56,20.94,0.16,0.59,20.48,0.14,0.13
105,0.20,1,5.16,0.05,5.22,0.06,0.06,5.18,0.06,0.01,4.92,0.05,-0.24,5.41,0.06,0.25,5.32,0.06,0.16
105,0.20,2,7.70,0.07,7.77,0.08,0.07,7.70,0.07,0.00,7.24,0.06,-0.46,8.18,0.08,0.48,7.78,0.08,0.08
105,0.40,1,12.97,0.11,13.08,0.12,0.11,12.87,0.12,-0.10,12.55,0.10,-0.43,13.29,0.12,0.32,13.11,0.12,0.13
105,0.40,2,18.68,0.14,18.47,0.16,-0.21,18.65,0.15,-0.03,17.08,0.12,-1.60,19.28,0.16,0.60,18.30,0.14,-0.38
110,0.20,1,3.61,0.04,3.62,0.05,0.01,3.58,0.05,-0.02,3.68,0.05,0.07,3.93,0.06,0.32,3.95,0.06,0.34
110,0.20,2,6.03,0.06,6.09,0.07,0.07,6.29,0.07,0.26,5.66,0.06,-0.37,6.42,0.08,0.39,6.37,0.07,0.34
110,0.40,1,11.19,0.10,11.39,0.12,0.20,11.14,0.11,-0.05,11.05,0.10,-0.14,11.91,0.12,0.72,11.25,0.11,0.05
110,0.40,2,16.93,0.14,16.67,0.15,-0.27,16.78,0.14,-0.16,15.82,0.12,-1.11,17.48,0.16,0.55,16.90,0.14,-0.03
115,0.20,1,2.54,0.04,2.52,0.04,-0.02,2.51,0.04,-0.03,2.63,0.04,0.10,2.86,0.05,0.32,2.81,0.05,0.28
115,0.20,2,4.81,0.06,4.88,0.07,0.07,4.91,0.06,0.11,4.80,0.06,-0.01,5.17,0.07,0.37,5.13,0.07,0.32
115,0.40,1,9.83,0.10,9.71,0.11,-0.13,9.53,0.10,-0.31,9.64,0.10,-0.19,10.39,0.12,0.55,10.30,0.12,0.47
115,0.40,2,15.32,0.13,15.40,0.15,0.08,15.54,0.14,0.22,14.48,0.12,-0.85,16.13,0.15,0.81,15.51,0.14,0.19
120,0.20,1,1.78,0.03,1.81,0.04,0.03,1.77,0.03,-0.01,1.79,0.03,0.01,1.99,0.04,0.21,1.94,0.04,0.16
120,0.20,2,3.85,0.05,3.77,0.06,-0.09,3.78,0.05,-0.08,3.73,0.05,-0.12,4.22,0.06,0.37,3.99,0.06,0.13
120,0.40,1,8.44,0.09,8.35,0.10,-0.10,8.79,0.10,0.34,8.21,0.09,-0.23,9.03,0.11,0.59,8.77,0.11,0.33
120,0.40,2,14.02,0.13,13.90,0.14,-0.12,13.88,0.14,-0.14,13.30,0.11,-0.72,14.63,0.15,0.61,14.36,0.14,0.34
