S0,sigma,T,Ref Price,Ref StdErr,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.30,0.07,20.05,0.05,-0.25,20.00,0.04,-0.30,20.03,0.04,-0.27
80,0.20,2,21.31,0.09,21.02,0.07,-0.30,20.07,0.04,-1.25,20.83,0.06,-0.48
80,0.40,1,25.29,0.14,25.06,0.12,-0.23,24.00,0.10,-1.29,24.66,0.12,-0.63
80,0.40,2,29.34,0.17,28.68,0.14,-0.66,27.17,0.12,-2.16,28.34,0.14,-1.00
85,0.20,1,15.92,0.08,15.73,0.06,-0.19,15.39,0.04,-0.53,15.64,0.05,-0.28
85,0.20,2,17.55,0.09,17.12,0.07,-0.43,16.58,0.06,-0.97,16.91,0.07,-0.64
85,0.40,1,22.26,0.14,22.06,0.13,-0.20,20.80,0.11,-1.46,21.71,0.12,-0.54
85,0.40,2,26.79,0.17,26.55,0.15,-0.24,24.97,0.12,-1.82,25.77,0.14,-1.02
90,0.20,1,12.55,0.08,12.37,0.07,-0.19,11.83,0.06,-0.72,12.27,0.06,-0.28
90,0.20,2,14.52,0.10,14.22,0.08,-0.30,13.48,0.06,-1.05,13.87,0.07,-0.65
90,0.40,1,19.64,0.14,19.12,0.13,-0.52,18.79,0.11,-0.85,19.03,0.12,-0.61
90,0.40,2,24.47,0.17,24.12,0.15,-0.35,22.66,0.12,-1.81,23.29,0.14,-1.18
95,0.20,1,9.53,0.08,9.38,0.06,-0.14,9.11,0.06,-0.42,9.20,0.06,-0.32
95,0.20,2,11.88,0.09,11.57,0.08,-0.30,10.87,0.07,-1.01,11.30,0.08,-0.57
95,0.40,1,16.90,0.13,16.94,0.13,0.04,15.93,0.11,-0.97,16.61,0.12,-0.30
95,0.40,2,22.00,0.17,21.70,0.15,-0.30,20.52,0.12,-1.48,21.55,0.14,-0.45
100,0.20,1,7.05,0.07,6.88,0.06,-0.17,6.62,0.06,-0.43,6.86,0.06,-0.19
100,0.20,2,9.48,0.09,9.40,0.08,-0.08,8.73,0.07,-0.75,9.18,0.08,-0.30
100,0.40,1,14.82,0.13,14.69,0.12,-0.13,14.04,0.11,-0.78,14.60,0.12,-0.22
100,0.40,2,20.19,0.16,19.92,0.14,-0.27,18.85,0.12,-1.34,19.36,0.14,-0.82
105,0.20,1,5.06,0.06,5.04,0.05,-0.02,4.84,0.05,-0.23,5.03,0.06,-0.03
105,0.20,2,7.61,0.08,7.58,0.07,-0.03,7.04,0.06,-0.56,7.44,0.07,-0.17
105,0.40,1,12.82,0.13,12.56,0.11,-0.25,12.13,0.10,-0.69,12.66,0.11,-0.15
105,0.40,2,18.30,0.16,18.17,0.14,-0.13,17.43,0.12,-0.87,18.00,0.14,-0.31
110,0.20,1,3.66,0.05,3.71,0.05,0.05,3.50,0.04,-0.16,3.52,0.05,-0.14
110,0.20,2,6.28,0.08,5.91,0.06,-0.38,5.67,0.06,-0.62,5.83,0.06,-0.46
110,0.40,1,11.22,0.12,11.19,0.11,-0.04,10.72,0.10,-0.51,10.96,0.11,-0.26
110,0.40,2,16.85,0.16,16.71,0.14,-0.14,15.74,0.13,-1.11,16.38,0.13,-0.47
115,0.20,1,2.43,0.04,2.47,0.04,0.04,2.40,0.04,-0.03,2.43,0.04,0.00
115,0.20,2,4.85,0.07,4.65,0.06,-0.20,4.43,0.05,-0.42,4.74,0.06,-0.12
115,0.40,1,9.85,0.11,9.51,0.10,-0.34,9.29,0.10,-0.56,9.64,0.11,-0.21
115,0.40,2,15.41,0.15,14.99,0.13,-0.43,14.24,0.12,-1.17,14.68,0.13,-0.73
120,0.20,1,1.77,0.04,1.78,0.03,0.01,1.67,0.03,-0.09,1.71,0.03,-0.06
120,0.20,2,3.77,0.06,3.70,0.05,-0.08,3.53,0.05,-0.25,3.73,0.05,-0.04
120,0.40,1,8.59,0.11,8.39,0.10,-0.20,8.05,0.09,-0.54,8.30,0.10,-0.29
120,0.40,2,14.08,0.15,13.97,0.13,-0.11,13.09,0.12,-0.99,13.73,0.13,-0.35
