S0,sigma,T,Ref Price,Ref StdErr,LGBM Price,LGBM StdErr,LGBM Bias,XGB Price,XGB StdErr,XGB Bias
80,0.20,1,20.24,0.07,20.28,0.07,0.04,20.07,0.06,-0.17
80,0.20,2,21.21,0.09,21.05,0.08,-0.16,21.15,0.08,-0.06
80,0.40,1,24.91,0.15,24.72,0.13,-0.19,25.04,0.14,0.13
80,0.40,2,28.85,0.17,29.25,0.16,0.40,29.21,0.16,0.36
85,0.20,1,15.98,0.08,16.01,0.07,0.03,16.04,0.07,0.06
85,0.20,2,17.50,0.10,17.43,0.09,-0.07,17.42,0.09,-0.08
85,0.40,1,22.16,0.14,21.82,0.13,-0.34,22.00,0.14,-0.16
85,0.40,2,26.78,0.18,26.56,0.16,-0.22,26.07,0.16,-0.71
90,0.20,1,12.41,0.08,12.31,0.07,-0.09,12.43,0.07,0.03
90,0.20,2,14.49,0.10,14.23,0.09,-0.26,14.46,0.09,-0.03
90,0.40,1,19.23,0.14,19.56,0.14,0.33,19.09,0.13,-0.14
90,0.40,2,24.73,0.17,24.18,0.16,-0.55,24.33,0.16,-0.40
95,0.20,1,9.48,0.08,9.31,0.07,-0.17,9.37,0.07,-0.10
95,0.20,2,11.75,0.09,11.56,0.09,-0.19,11.87,0.09,0.12
95,0.40,1,16.98,0.14,16.86,0.13,-0.12,16.83,0.13,-0.15
95,0.40,2,22.16,0.17,22.26,0.16,0.10,21.88,0.15,-0.28
100,0.20,1,7.19,0.07,6.94,0.07,-0.25,7.07,0.07,-0.12
100,0.20,2,9.54,0.09,9.55,0.08,0.01,9.39,0.08,-0.15
100,0.40,1,14.64,0.14,14.51,0.13,-0.14,14.64,0.13,-0.00
100,0.40,2,20.17,0.17,20.06,0.15,-0.11,20.05,0.16,-0.12
105,0.20,1,5.07,0.06,5.15,0.06,0.08,5.06,0.06,-0.01
105,0.20,2,7.68,0.08,7.57,0.08,-0.12,7.54,0.08,-0.14
105,0.40,1,12.74,0.13,12.94,0.12,0.20,12.83,0.12,0.09
105,0.40,2,18.50,0.16,18.22,0.15,-0.28,18.18,0.15,-0.32
110,0.20,1,3.62,0.05,3.63,0.05,0.02,3.62,0.05,0.01
110,0.20,2,6.12,0.08,5.89,0.07,-0.22,5.93,0.07,-0.19
110,0.40,1,11.18,0.13,11.33,0.12,0.15,11.16,0.12,-0.02
110,0.40,2,16.86,0.16,16.62,0.15,-0.24,16.83,0.15,-0.03
115,0.20,1,2.61,0.05,2.53,0.04,-0.08,2.52,0.04,-0.09
115,0.20,2,4.83,0.07,4.87,0.07,0.04,4.79,0.06,-0.04
115,0.40,1,9.57,0.11,9.93,0.11,0.36,9.61,0.11,0.04
115,0.40,2,15.58,0.16,15.16,0.14,-0.42,15.24,0.15,-0.34
120,0.20,1,1.76,0.04,1.76,0.04,-0.00,1.72,0.04,-0.04
120,0.20,2,3.75,0.06,3.74,0.06,-0.01,3.86,0.06,0.10
120,0.40,1,8.46,0.11,8.45,0.11,-0.02,8.58,0.10,0.11
120,0.40,2,14.11,0.15,14.00,0.14,-0.11,13.75,0.14,-0.37
